,R2,RMSE,MAE
Linear Regression,0.9358611903248096,0.24904007297205066,0.14933570656761813
Ridge Regression,0.926687107025969,0.2662557317640595,0.16407489333160602
Lasso Regression,0.8102700543425859,0.428328259233032,0.3138095033090625
Random Forest,0.9495765511145424,0.22081321485227623,0.12327335749931218
Gradient Boosting,0.9315138437757551,0.25734171039582004,0.18250096957706377
